PID,TX,RX,END,SIZE,START,ENDTOEND
856,8,9,280649035,520,198623530,248.649035
1818,0,1,78271000,520,64000000,248.649035
1818,1,3,147542000,520,78271000,248.649035
1818,3,4,214590177,520,147542000,248.649035
1818,4,8,230623530,520,214590177,248.649035
1818,8,9,312649035,520,230623530,248.649035
2798,0,1,110271000,520,96000000,248.649035
2798,1,3,179542000,520,110271000,248.649035
2798,3,4,246590177,520,179542000,248.649035
2798,4,8,262623530,520,246590177,248.649035
2798,8,9,344649035,520,262623530,248.649035
3779,0,1,142271000,520,128000000,248.649035
3779,1,3,211566416,520,142271000,248.673451
3779,3,4,278614593,520,211566416,248.673451
3779,4,8,294647946,520,278614593,248.673451
3779,8,9,376673451,520,294647946,248.673451
4771,0,1,174271000,520,160000000,248.673451
4771,1,3,243542000,520,174271000,248.649035
4771,3,4,310590177,520,243542000,248.649035
4771,4,8,326623530,520,310590177,248.649035
4771,8,9,408649035,520,326623530,248.649035
5786,0,1,206271000,520,192000000,248.649035
5786,1,3,275542000,520,206271000,248.649035
5786,3,4,342590177,520,275542000,248.649035
5786,4,8,358623530,520,342590177,248.649035
5786,8,9,440649035,520,358623530,248.649035
6808,0,1,238271000,520,224000000,248.649035
6808,1,3,307542000,520,238271000,248.649035
6808,3,4,374590177,520,307542000,248.649035
6808,4,8,390623530,520,374590177,248.649035
6808,8,9,472649035,520,390623530,248.649035
7604,0,1,262096580,36,248090781,248.383834
7604,1,3,331108180,36,262096580,248.124434
7604,3,4,398113335,36,331108180,248.081412
7604,4,8,414116904,36,398113335,248.051628
7604,8,9,496119633,36,414116904,248.028852
7831,0,1,270271000,520,256000000,248.294053
7831,1,3,339542000,520,270271000,248.553453
7831,3,4,406590177,520,339542000,248.596475
7831,4,8,422623530,520,406590177,248.626259
7831,8,9,504649035,520,422623530,248.649035
8855,0,1,302271000,520,288000000,248.649035
8855,1,3,371650400,520,302271000,248.757435
8855,3,4,438733282,520,371650400,248.79214
8855,4,8,454766635,520,438733282,248.79214
8855,8,9,536792140,520,454766635,248.79214
9867,0,1,334271000,520,320000000,248.79214
9867,1,3,403542000,520,334271000,248.68374
9867,3,4,470590177,520,403542000,248.649035
9867,4,8,486623530,520,470590177,248.649035
9867,8,9,568649035,520,486623530,248.649035
10924,0,1,366271000,520,352000000,248.649035
10924,1,3,435557500,520,366271000,248.664535
10924,3,4,502605677,520,435557500,248.664535
10924,4,8,518639030,520,502605677,248.664535
10924,8,9,600664535,520,518639030,248.664535
11951,0,1,398271000,520,384000000,248.664535
11951,1,3,467542000,520,398271000,248.649035
11951,3,4,534590177,520,467542000,248.649035
11951,4,8,550623530,520,534590177,248.649035
11951,8,9,632649035,520,550623530,248.649035
12987,0,1,430271000,520,416000000,248.649035
12987,1,3,499542000,520,430271000,248.649035
12987,3,4,566608354,520,499542000,248.667212
12987,4,8,582641707,520,566608354,248.667212
12987,8,9,664667212,520,582641707,248.667212
14025,0,1,462271000,520,448000000,248.667212
14025,1,3,531650400,520,462271000,248.775612
14025,3,4,598698577,520,531650400,248.757435
14025,4,8,614731930,520,598698577,248.757435
14025,8,9,696757435,520,614731930,248.757435
15072,0,1,494271000,520,480000000,248.757435
15072,1,3,563542000,520,494271000,248.649035
15072,3,4,630590177,520,563542000,248.649035
15072,4,8,646623530,520,630590177,248.649035
15072,8,9,728649035,520,646623530,248.649035
16156,0,1,526271000,520,512000000,248.649035
16156,1,3,595650400,520,526271000,248.757435
16156,3,4,662698577,520,595650400,248.757435
16156,4,8,678731930,520,662698577,248.757435
16156,8,9,760757435,520,678731930,248.757435
17219,0,1,558271000,520,544000000,248.757435
17219,1,3,627542000,520,558271000,248.649035
17219,3,4,694590177,520,627542000,248.649035
17219,4,8,710623530,520,694590177,248.649035
17219,8,9,792649035,520,710623530,248.649035
18279,0,1,590271000,520,576000000,248.649035
18279,1,3,659542000,520,590271000,248.649035
18279,3,4,726590177,520,659542000,248.649035
18279,4,8,742623530,520,726590177,248.649035
18279,8,9,824649035,520,742623530,248.649035
19373,0,1,622271000,520,608000000,248.649035
19373,1,3,691542000,520,622271000,248.649035
19373,3,4,758590177,520,691542000,248.649035
19373,4,8,774623530,520,758590177,248.649035
19373,8,9,856649035,520,774623530,248.649035
20449,0,1,654271000,520,640000000,248.649035
20449,1,3,723542000,520,654271000,248.649035
20449,3,4,790590177,520,723542000,248.649035
20449,4,8,806623530,520,790590177,248.649035
20449,8,9,888649035,520,806623530,248.649035
21561,0,1,686271000,520,672000000,248.649035
21561,1,3,755542000,520,686271000,248.649035
21561,3,4,822590177,520,755542000,248.649035
21561,4,8,838623530,520,822590177,248.649035
21561,8,9,920649035,520,838623530,248.649035
22732,0,1,718271000,520,704000000,248.649035
22732,1,3,787542000,520,718271000,248.649035
22732,3,4,854590177,520,787542000,248.649035
22732,4,8,870623530,520,854590177,248.649035
22732,8,9,952649035,520,870623530,248.649035
23829,0,1,750271000,520,736000000,248.649035
23829,1,3,819641200,520,750271000,248.748235
23829,3,4,886689377,520,819641200,248.748235
23829,4,8,902722730,520,886689377,248.748235
23829,8,9,984748235,520,902722730,248.748235
24231,0,1,758878195,32,744872795,248.482635
24231,1,3,827900599,32,758878195,248.134839
24231,3,4,894942777,32,827900599,248.12884
24231,4,8,910974653,32,894942777,248.127363
24231,8,9,992977194,32,910974653,248.104399
25008,0,1,782271000,520,768000000,248.369999
25008,1,3,851542000,520,782271000,248.618595
25008,3,4,918590177,520,851542000,248.624594
25008,4,8,934623530,520,918590177,248.626071
25008,8,9,1016649035,520,934623530,248.649035
26119,0,1,814271000,520,800000000,248.649035
26119,1,3,883542000,520,814271000,248.649035
26119,3,4,950590177,520,883542000,248.649035
26119,4,8,966623530,520,950590177,248.649035
26119,8,9,1048649035,520,966623530,248.649035
27294,0,1,846271000,520,832000000,248.649035
27294,1,3,915542000,520,846271000,248.649035
27294,3,4,982590177,520,915542000,248.649035
27294,4,8,998623530,520,982590177,248.649035
27294,8,9,1080649035,520,998623530,248.649035
28502,0,1,878271000,520,864000000,248.649035
28502,1,3,947542000,520,878271000,248.649035
28502,3,4,1014590177,520,947542000,248.649035
28502,4,8,1030623530,520,1014590177,248.649035
28502,8,9,1112649035,520,1030623530,248.649035
29672,0,1,910271000,520,896000000,248.649035
29672,1,3,979650400,520,910271000,248.757435
29672,3,4,1046698577,520,979650400,248.757435
29672,4,8,1062731930,520,1046698577,248.757435
29672,8,9,1144757435,520,1062731930,248.757435
30835,0,1,942303650,520,928000000,248.790085
30835,1,3,1011683050,520,942303650,248.790085
30835,3,4,1078731227,520,1011683050,248.790085
30835,4,8,1094764580,520,1078731227,248.790085
30835,8,9,1176790085,520,1094764580,248.790085
32020,0,1,974271000,520,960000000,248.757435
32020,1,3,1043542000,520,974271000,248.649035
32020,3,4,1110590177,520,1043542000,248.649035
32020,4,8,1126623530,520,1110590177,248.649035
32020,8,9,1208649035,520,1126623530,248.649035
33232,0,1,1006271000,520,992000000,248.649035
33232,1,3,1075542000,520,1006271000,248.649035
33232,3,4,1142590177,520,1075542000,248.649035
33232,4,8,1158623530,520,1142590177,248.649035
33232,8,9,1240649035,520,1158623530,248.649035
34440,0,1,1038271000,520,1024000000,248.649035
34440,1,3,1107542000,520,1038271000,248.649035
34440,3,4,1174590177,520,1107542000,248.649035
34440,4,8,1190630022,520,1174590177,248.655527
34440,8,9,1272655527,520,1190630022,248.655527
35625,0,1,1070271000,520,1056000000,248.655527
35625,1,3,1139542000,520,1070271000,248.655527
35625,3,4,1206590177,520,1139542000,248.655527
35625,4,8,1222623530,520,1206590177,248.649035
35625,8,9,1304826266,520,1222623530,248.826266
36813,0,1,1102271000,520,1088000000,248.826266
36813,1,3,1171542000,520,1102271000,248.826266
36813,3,4,1238590177,520,1171542000,248.826266
36813,4,8,1254623530,520,1238590177,248.826266
36813,8,9,1336649035,520,1254623530,248.649035
38009,0,1,1134271000,520,1120000000,248.649035
38009,1,3,1203650400,520,1134271000,248.757435
38009,3,4,1270698577,520,1203650400,248.757435
38009,4,8,1286731930,520,1270698577,248.757435
38009,8,9,1368757435,520,1286731930,248.757435
39211,0,1,1166271000,520,1152000000,248.757435
39211,1,3,1235542000,520,1166271000,248.649035
39211,3,4,1302590177,520,1235542000,248.649035
39211,4,8,1318623530,520,1302590177,248.649035
39211,8,9,1400649035,520,1318623530,248.649035
40526,0,1,1198271000,520,1184000000,248.649035
40526,1,3,1267542000,520,1198271000,248.649035
40526,3,4,1334590177,520,1267542000,248.649035
40526,4,8,1350623530,520,1334590177,248.649035
40526,8,9,1432649035,520,1350623530,248.649035
41691,0,1,1230271000,520,1216000000,248.649035
41691,1,3,1299542000,520,1230271000,248.649035
41691,3,4,1366590177,520,1299542000,248.649035
41691,4,8,1382623530,520,1366590177,248.649035
41691,8,9,1464649035,520,1382623530,248.649035
42944,0,1,1262271000,520,1248000000,248.649035
42944,1,3,1331542000,520,1262271000,248.649035
42944,3,4,1399170916,520,1331542000,249.229774
42944,4,8,1415204269,520,1399170916,249.229774
42944,8,9,1497243410,520,1415204269,249.24341
44151,0,1,1294271000,520,1280000000,249.24341
44151,1,3,1363542000,520,1294271000,249.24341
44151,3,4,1430590177,520,1363542000,248.662671
44151,4,8,1446623530,520,1430590177,248.662671
44151,8,9,1528649035,520,1446623530,248.649035
45420,0,1,1326271000,520,1312000000,248.649035
45420,1,3,1395542000,520,1326271000,248.649035
45420,3,4,1462590177,520,1395542000,248.649035
45420,4,8,1478623530,520,1462590177,248.649035
45420,8,9,1560649035,520,1478623530,248.649035
46757,0,1,1358271000,520,1344000000,248.649035
46757,1,3,1427623008,520,1358271000,248.730043
46757,3,4,1494671185,520,1427623008,248.730043
46757,4,8,1510704538,520,1494671185,248.730043
46757,8,9,1592730043,520,1510704538,248.730043
48042,0,1,1390271000,520,1376000000,248.730043
49383,1,3,1491542000,520,1422271000,248.649035
49383,3,4,1558590177,520,1491542000,248.649035
49383,4,8,1574623530,520,1558590177,248.649035
49383,8,9,1656649035,520,1574623530,248.649035
51916,0,1,1486271000,520,1472000000,248.649035
51916,1,3,1555650400,520,1486271000,248.757435
51916,3,4,1622698577,520,1555650400,248.757435
51916,4,8,1638731930,520,1622698577,248.757435
51916,8,9,1720920419,520,1638731930,248.920419
53270,0,1,1518271000,520,1504000000,248.920419
53270,1,3,1587542000,520,1518271000,248.812019
53270,3,4,1654590177,520,1587542000,248.812019
53270,4,8,1670623530,520,1654590177,248.812019
53270,8,9,1752649035,520,1670623530,248.649035
54692,0,1,1550271000,520,1536000000,248.649035
54692,1,3,1619632799,520,1550271000,248.739834
54692,3,4,1686680976,520,1619632799,248.739834
54692,4,8,1702714329,520,1686680976,248.739834
54692,8,9,1784739834,520,1702714329,248.739834
56040,0,1,1582271000,520,1568000000,248.739834
56040,1,3,1651542000,520,1582271000,248.649035
56040,3,4,1718590177,520,1651542000,248.649035
56040,4,8,1734623530,520,1718590177,248.649035
56040,8,9,1816649035,520,1734623530,248.649035
57349,0,1,1614271000,520,1600000000,248.649035
57349,1,3,1683632799,520,1614271000,248.739834
57349,3,4,1750680976,520,1683632799,248.739834
57349,4,8,1766714329,520,1750680976,248.739834
57349,8,9,1848739834,520,1766714329,248.739834
58706,0,1,1646271000,520,1632000000,248.739834
58706,1,3,1715542000,520,1646271000,248.649035
58706,3,4,1782590177,520,1715542000,248.649035
58706,4,8,1798623530,520,1782590177,248.649035
58706,8,9,1880649035,520,1798623530,248.649035
60098,0,1,1678271000,520,1664000000,248.649035
60098,1,3,1747632799,520,1678271000,248.739834
60098,3,4,1814680976,520,1747632799,248.739834
60098,4,8,1830716536,520,1814680976,248.742041
60098,8,9,1912742041,520,1830716536,248.742041
61549,0,1,1710271000,520,1696000000,248.742041
61549,1,3,1779542000,520,1710271000,248.651242
61549,3,4,1846590177,520,1779542000,248.651242
61549,4,8,1862651438,520,1846590177,248.676943
61549,8,9,1944676943,520,1862651438,248.676943
62950,0,1,1742271000,520,1728000000,248.676943
62950,1,3,1811741199,520,1742271000,248.876142
62950,3,4,1878789376,520,1811741199,248.876142
62950,4,8,1894838712,520,1878789376,248.864217
62950,8,9,1976864217,520,1894838712,248.864217
63562,0,1,1753988626,32,1739983226,248.598617
63562,1,3,1822999425,32,1753988626,248.139217
63562,3,4,1890004225,32,1822999425,248.09584
63562,4,8,1906007548,32,1890004225,248.049827
63562,8,9,1988010089,32,1906007548,248.026863
64333,0,1,1774271000,520,1760000000,248.292463
64333,1,3,1843542000,520,1774271000,248.552664
64333,3,4,1910590177,520,1843542000,248.596041
64333,4,8,1926623530,520,1910590177,248.626071
64333,8,9,2008649035,520,1926623530,248.649035
65726,0,1,1806271000,520,1792000000,248.649035
65726,1,3,1875632799,520,1806271000,248.739834
65726,3,4,1942680976,520,1875632799,248.739834
65726,4,8,1958714329,520,1942680976,248.739834
65726,8,9,2040739834,520,1958714329,248.739834
68667,0,1,1870282100,520,1856000000,248.750934
68667,1,3,1939643899,520,1870282100,248.750934
68667,3,4,2006692076,520,1939643899,248.750934
68667,4,8,2022746724,520,2006692076,248.772229
68667,8,9,2104772229,520,2022746724,248.772229
70120,0,1,1902271000,520,1888000000,248.761129
70120,1,3,1971542000,520,1902271000,248.67033
70120,3,4,2038590177,520,1971542000,248.67033
70120,4,8,2054623530,520,2038590177,248.649035
70120,8,9,2136649035,520,2054623530,248.649035
71543,0,1,1934271000,520,1920000000,248.649035
71543,1,3,2003632799,520,1934271000,248.739834
71543,3,4,2070680976,520,2003632799,248.739834
71543,4,8,2086714329,520,2070680976,248.739834
71543,8,9,2168739834,520,2086714329,248.739834
73038,0,1,1966271000,520,1952000000,248.739834
73038,1,3,2035730208,520,1966271000,248.837243
73038,3,4,2102778385,520,2035730208,248.837243
73038,4,8,2118811738,520,2102778385,248.837243
73038,8,9,2200837243,520,2118811738,248.837243
74542,0,1,1998271000,520,1984000000,248.837243
74542,1,3,2067643598,520,1998271000,248.750633
74542,3,4,2134691775,520,2067643598,248.750633
74542,4,8,2150725128,520,2134691775,248.750633
74542,8,9,2232750633,520,2150725128,248.750633
75922,0,1,2030271000,520,2016000000,248.750633
75922,1,3,2099542000,520,2030271000,248.649035
75922,3,4,2166590177,520,2099542000,248.649035
75922,4,8,2182623530,520,2166590177,248.649035
75922,8,9,2264649035,520,2182623530,248.649035
77458,0,1,2062378150,520,2048000000,248.756185
77458,1,3,2132051311,520,2062378150,249.158346
77458,3,4,2199178012,520,2132051311,249.23687
77458,4,8,2215211365,520,2199178012,249.23687
77458,8,9,2297253834,520,2215211365,249.253834
78993,0,1,2094271000,520,2080000000,249.146684
78993,1,3,2163542000,520,2094271000,248.744523
78993,3,4,2230590177,520,2163542000,248.665999
78993,4,8,2246623530,520,2230590177,248.665999
78993,8,9,2328826298,520,2246623530,248.826298
80413,0,1,2126271000,520,2112000000,248.826298
80413,1,3,2195632799,520,2126271000,248.917097
80413,3,4,2262680976,520,2195632799,248.917097
80413,4,8,2278714329,520,2262680976,248.917097
80413,8,9,2360739834,520,2278714329,248.739834
81887,0,1,2158271000,520,2144000000,248.739834
81887,1,3,2227542000,520,2158271000,248.649035
81887,3,4,2294590177,520,2227542000,248.649035
81887,4,8,2310623530,520,2294590177,248.649035
81887,8,9,2392649035,520,2310623530,248.649035
83477,0,1,2190271000,520,2176000000,248.649035
83477,1,3,2259656715,520,2190271000,248.76375
83477,3,4,2326704892,520,2259656715,248.76375
83477,4,8,2342738245,520,2326704892,248.76375
83477,8,9,2424763750,520,2342738245,248.76375
84936,0,1,2222271000,520,2208000000,248.76375
84936,1,3,2291552799,520,2222271000,248.659834
84936,3,4,2358600976,520,2291552799,248.659834
84936,4,8,2374634329,520,2358600976,248.659834
84936,8,9,2456659834,520,2374634329,248.659834
86245,0,1,2251073309,32,2237067909,248.394234
86245,1,3,2320084108,32,2251073309,248.123234
86245,3,4,2387088908,32,2320084108,248.079857
86245,4,8,2403094181,32,2387088908,248.051777
86245,8,9,2485096722,32,2403094181,248.028813
86371,0,1,2254271000,520,2240000000,248.294413
86371,1,3,2323632799,520,2254271000,248.645413
86371,3,4,2390680976,520,2323632799,248.68879
86371,4,8,2406714329,520,2390680976,248.71687
86371,8,9,2488739834,520,2406714329,248.739834
87974,0,1,2286271000,520,2272000000,248.739834
87974,1,3,2355542000,520,2286271000,248.649035
87974,3,4,2422590177,520,2355542000,248.649035
87974,4,8,2438623530,520,2422590177,248.649035
87974,8,9,2520649035,520,2438623530,248.649035
89496,0,1,2318271000,520,2304000000,248.649035
89496,1,3,2387632799,520,2318271000,248.739834
89496,3,4,2454680976,520,2387632799,248.739834
89496,4,8,2470714329,520,2454680976,248.739834
89496,8,9,2552739834,520,2470714329,248.739834
91074,0,1,2350271000,520,2336000000,248.739834
91074,1,3,2419650400,520,2350271000,248.757435
91074,3,4,2486732482,520,2419650400,248.79134
91074,4,8,2502765835,520,2486732482,248.79134
91074,8,9,2584791340,520,2502765835,248.79134
92583,0,1,2382271000,520,2368000000,248.79134
92583,1,3,2451643598,520,2382271000,248.784538
92583,3,4,2518701250,520,2451643598,248.760108
92583,4,8,2534734603,520,2518701250,248.760108
92583,8,9,2616760108,520,2534734603,248.760108
94126,0,1,2414271000,520,2400000000,248.760108
94126,1,3,2483556250,520,2414271000,248.67276
94126,3,4,2550606587,520,2483556250,248.665445
94126,4,8,2566641109,520,2550606587,248.666614
94126,8,9,2648666614,520,2566641109,248.666614
95710,0,1,2446271000,520,2432000000,248.666614
95710,1,3,2515643598,520,2446271000,248.753962
95710,3,4,2582691775,520,2515643598,248.751802
95710,4,8,2598739577,520,2582691775,248.765082
95710,8,9,2680765082,520,2598739577,248.765082
96054,0,1,2451107200,32,2437101800,248.499482
96054,1,3,2520117999,32,2451107200,248.137683
96054,3,4,2587122799,32,2520117999,248.094306
96054,4,8,2603126122,32,2587122799,248.049827
96054,8,9,2685128663,32,2603126122,248.026863
97277,0,1,2478271000,520,2464000000,248.292463
97277,1,3,2547542000,520,2478271000,248.552664
97277,3,4,2614607554,520,2547542000,248.613418
97277,4,8,2630640907,520,2614607554,248.643448
97277,8,9,2712666412,520,2630640907,248.666412
98809,0,1,2510271000,520,2496000000,248.666412
98809,1,3,2579751998,520,2510271000,248.87641
98809,3,4,2646800175,520,2579751998,248.859033
98809,4,8,2662833528,520,2646800175,248.859033
98809,8,9,2744859033,520,2662833528,248.859033
100394,0,1,2542271000,520,2528000000,248.859033
100394,1,3,2611542000,520,2542271000,248.649035
100394,3,4,2678590177,520,2611542000,248.649035
100394,4,8,2694623530,520,2678590177,248.649035
100394,8,9,2776649035,520,2694623530,248.649035
102018,0,1,2574271000,520,2560000000,248.649035
102018,1,3,2643741199,520,2574271000,248.848234
102018,3,4,2710789376,520,2643741199,248.848234
102018,4,8,2726822729,520,2710789376,248.848234
102018,8,9,2808848234,520,2726822729,248.848234
103540,0,1,2606271000,520,2592000000,248.848234
103540,1,3,2675552799,520,2606271000,248.659834
103540,3,4,2742600976,520,2675552799,248.659834
103540,4,8,2758634329,520,2742600976,248.659834
103540,8,9,2840659834,520,2758634329,248.659834
105118,0,1,2638271000,520,2624000000,248.659834
105118,1,3,2709129613,520,2638271000,250.236648
105118,3,4,2776177790,520,2709129613,250.236648
105118,4,8,2792211143,520,2776177790,250.236648
105118,8,9,2874236648,520,2792211143,250.236648
106732,0,1,2670271000,520,2656000000,250.236648
106732,1,3,2739552799,520,2670271000,248.659834
106732,3,4,2806600976,520,2739552799,248.659834
106732,4,8,2822634329,520,2806600976,248.659834
106732,8,9,2904659834,520,2822634329,248.659834
108367,0,1,2702271000,520,2688000000,248.659834
108367,1,3,2771632799,520,2702271000,248.739834
108367,3,4,2838680976,520,2771632799,248.739834
108367,4,8,2854714329,520,2838680976,248.739834
108367,8,9,2936753382,520,2854714329,248.753382
109876,0,1,2734271000,520,2720000000,248.753382
109876,1,3,2803542000,520,2734271000,248.662583
109876,3,4,2870590177,520,2803542000,248.662583
109876,4,8,2886623530,520,2870590177,248.662583
109876,8,9,2968649035,520,2886623530,248.649035
114732,0,1,2830271000,520,2816000000,248.649035
114732,1,3,2899632799,520,2830271000,248.739834
114732,3,4,2966680976,520,2899632799,248.739834
114732,4,8,2982714329,520,2966680976,248.739834
114732,8,9,3064739834,520,2982714329,248.739834
116284,0,1,2862271000,520,2848000000,248.739834
116284,1,3,2931542000,520,2862271000,248.649035
116284,3,4,2998590177,520,2931542000,248.649035
116284,4,8,3014623530,520,2998590177,248.649035
116284,8,9,3096649035,520,3014623530,248.649035
117957,0,1,2894271000,520,2880000000,248.649035
117957,1,3,2963643598,520,2894271000,248.750633
117957,3,4,3030691775,520,2963643598,248.750633
117957,4,8,3046725128,520,3030691775,248.750633
117957,8,9,3128750633,520,3046725128,248.750633
119534,0,1,2926271000,520,2912000000,248.750633
119534,1,3,2995542000,520,2926271000,248.649035
119534,3,4,3062590177,520,2995542000,248.649035
119534,4,8,3078623530,520,3062590177,248.649035
119534,8,9,3160649035,520,3078623530,248.649035
30835,0,1,942303650,520,928000000,248.790085
30835,1,3,1011683050,520,942303650,248.790085
30835,3,4,1078731227,520,1011683050,248.790085
30835,4,8,1094764580,520,1078731227,248.790085
30835,8,9,1176790085,520,1094764580,248.790085
32020,0,1,974271000,520,960000000,248.757435
32020,1,3,1043542000,520,974271000,248.649035
32020,3,4,1110590177,520,1043542000,248.649035
32020,4,8,1126623530,520,1110590177,248.649035
32020,8,9,1208649035,520,1126623530,248.649035
33232,0,1,1006271000,520,992000000,248.649035
